stock_item_name,stock_group,stock_category,base_unit,alternate_unit,conversion_factor,gst_rate,hsn_code,item_code,barcode,brand,base_product_name,color,size,pack_size,opening_qty,opening_rate,opening_amount,source_hash,needs_review,notes
INOX Acrylic Distemper 1kg (LIRIL),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (LIRIL),,,,460.000,27.00,-12420.00,29addea90e7b4b6e,,
INOX Acrylic Distemper 1kg (MERRY PINK),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (MERRY PINK),,,,160.000,27.00,-4320.00,25da0e7dff726001,,
INOX Acrylic Distemper 1kg (PALE CREAM),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (PALE CREAM),,,,1320.000,27.00,-35640.00,f77e24482ebf7f55,,
INOX Acrylic Distemper 1kg Pouch (AQUAMARINE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (AQUAMARINE),,,,3852.000,27.00,-104004.00,cbcbbced4ddaabfe,,
INOX Acrylic Distemper 1kg Pouch (FIRE RED),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (FIRE RED),,,,543.000,27.00,-14661.00,57495ee4a212ccf3,,
INOX Acrylic Distemper 1kg Pouch (JAIPURI PINK),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (JAIPURI PINK),,,,319.000,27.00,-8613.00,d56fe8c526c7c38f,,
INOX Acrylic Distemper 1kg Pouch (PALE ROSE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (PALE ROSE),,,,2938.000,23.09,-67851.00,5d932c958a6a6050,,
INOX Acrylic Distemper 1kg Pouch (PARROT GREEN),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (PARROT GREEN),,,,3228.000,23.00,-74243.00,24e026461c0a6ed8,,
INOX Acrylic Distemper 1kg Pouch (WHITE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg Pouch (WHITE),,,,341.000,6.97,-2376.00,8c18fcffa8a90903,,
INOX Acrylic Distemper 1kg (PURPLE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (PURPLE),,,,480.000,27.00,-12960.00,14eae630c8197a5d,,
INOX Acrylic Distemper 1kg (SUNRISE),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (SUNRISE),,,,414.000,27.00,-11178.00,1b11b3360655274f,,
INOX Acrylic Distemper 1kg (WILD LILAC),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (WILD LILAC),,,,310.000,27.00,-8370.00,a4cc3df4fbd7c7d2,,
INOX Acrylic Distemper 1kg (YELLOW),,,PKT,,,,,,,,INOX Acrylic Distemper 1kg (YELLOW),,,,107.000,27.00,-2889.00,57a24a3350a488f1,,
INOX Acrylic Distemper Pouch 1kg  (JOLLY HOLLY),,,PKT,,,,,,,,INOX Acrylic Distemper Pouch 1kg  (JOLLY HOLLY),,,,413.000,27.00,-11151.00,b8ea3a80f69328fc,,
INOX Ext. Emulsion,,,PCS,,,,,,,,INOX Ext. Emulsion,,,,1475,218.36,-322077.93,62f614a21ec85816,,
INOX Matte Finish Ext.Eml 500ML.,,,PCS,,,,,,,,INOX Matte Finish Ext.Eml 500ML.,,,,997,75.64,-75411.00,2dc048fcadb3f4af,,
INOX Matt Finish Ext. Eml. 10 Ltr.,,,PCS,,,,,,,,INOX Matt Finish Ext. Eml. 10 Ltr.,,,,72,920.82,-66299.36,2588659a5346be85,,
INOX Matt Finish Ext. Eml. 1Ltr.,,,PCS,,,,,,,,INOX Matt Finish Ext. Eml. 1Ltr.,,,,212,230.22,-48806.78,102cf14e3a850c46,,
INOX Matt Finish Ext. Eml. 20Ltr.,,,PCS,,,,,,,,INOX Matt Finish Ext. Eml. 20Ltr.,,,,15,1991.25,-29868.75,734a9a5c47980c57,,
INOX Matt Finish Ext. Eml. 4Ltr.,,,PCS,,,,,,,,INOX Matt Finish Ext. Eml. 4Ltr.,,,,160,338.70,-54192.04,1fa43210a9d8dfe7,,
Inox Water Base Enamel Ext.2/3 10Ltr.,,,PCS,,,,,,,,Inox Water Base Enamel Ext.2/3 10Ltr.,,,,9,1700.00,-15300.00,f9406d802700fa98,,
Inox Water Base Enamel Ext. 2/3 20Ltr.,,,PCS,,,,,,,,Inox Water Base Enamel Ext. 2/3 20Ltr.,,,,10,3220.00,-32200.00,dc62588b127fc261,,
INOX FLOOR COAT,,,,,,,,,,,INOX FLOOR COAT,,,,,,-3640.00,ab72d7146f4d72ee,TRUE,
